"type1","type2","total","hp","attack","defense","sp_attack","sp_defense","speed","generation","legendary","type1_scaled","type2_scaled","total_scaled","hp_scaled","attack_scaled","defense_scaled","sp_attack_scaled","sp_defense_scaled","speed_scaled","generation_scaled"
11,13,318,45,49,49,65,65,45,1,0,0.5789473684210527,0.7647058823529411,0.1505263157894737,0.1732283464566929,0.23783783783783785,0.1795918367346939,0.29891304347826086,0.19565217391304346,0.20512820512820515,0.125
11,13,405,60,62,63,80,80,60,1,0,0.5789473684210527,0.7647058823529411,0.24210526315789474,0.23228346456692914,0.3081081081081081,0.23673469387755106,0.3804347826086956,0.2608695652173913,0.28205128205128205,0.125
11,13,525,80,82,83,100,100,80,1,0,0.5789473684210527,0.7647058823529411,0.36842105263157887,0.3110236220472441,0.41621621621621624,0.3183673469387755,0.48913043478260865,0.34782608695652173,0.3846153846153846,0.125
11,13,625,80,100,123,122,120,80,1,0,0.5789473684210527,0.7647058823529411,0.4736842105263157,0.3110236220472441,0.5135135135135136,0.4816326530612245,0.608695652173913,0.43478260869565216,0.3846153846153846,0.125
11,13,525,80,82,83,100,100,80,1,0,0.5789473684210527,0.7647058823529411,0.36842105263157887,0.3110236220472441,0.41621621621621624,0.3183673469387755,0.48913043478260865,0.34782608695652173,0.3846153846153846,0.125
7,7,309,39,52,43,60,50,65,1,0,0.3684210526315789,0.4117647058823529,0.14105263157894735,0.14960629921259844,0.25405405405405407,0.15510204081632656,0.2717391304347826,0.13043478260869565,0.30769230769230765,0.125
7,7,405,58,64,58,80,65,80,1,0,0.3684210526315789,0.4117647058823529,0.24210526315789474,0.22440944881889763,0.31891891891891894,0.2163265306122449,0.3804347826086956,0.19565217391304346,0.3846153846153846,0.125
7,7,534,78,84,78,109,85,100,1,0,0.3684210526315789,0.4117647058823529,0.3778947368421053,0.3031496062992126,0.42702702702702705,0.2979591836734694,0.5380434782608695,0.28260869565217395,0.4871794871794871,0.125
7,2,634,78,130,111,130,85,100,1,0,0.3684210526315789,0.11764705882352941,0.4831578947368421,0.3031496062992126,0.6756756756756757,0.4326530612244898,0.6521739130434783,0.28260869565217395,0.4871794871794871,0.125
7,7,634,78,104,78,159,115,100,1,0,0.3684210526315789,0.4117647058823529,0.4831578947368421,0.3031496062992126,0.5351351351351352,0.2979591836734694,0.8097826086956521,0.41304347826086957,0.4871794871794871,0.125
7,7,534,78,84,78,109,85,100,1,0,0.3684210526315789,0.4117647058823529,0.3778947368421053,0.3031496062992126,0.42702702702702705,0.2979591836734694,0.5380434782608695,0.28260869565217395,0.4871794871794871,0.125
